year	AFG	AGO	ALB	ARG	ATG	AUS	AUT	BDI	BEL	BEN	BFA	BGD	BGR	BHR	BHS	BLZ	BMU	BOL	BRA	BRB	BRN	BTN	BWA	CAF	CAN	CH2	CHE	CHL	CHN	CIV	CMR	COG	COL	COM	CPV	CRI	CUB	CYP	DJI	DMA	DNK	DOM	DZA	ECU	EGY	ESP	ETH	FIN	FJI	FRA	FSM	GAB	GBR	GER	GHA	GIN	GMB	GNB	GNQ	GRC	GRD	GTM	GUY	HKG	HND	HTI	HUN	IDN	IND	IRL	IRN	IRQ	ISL	ISR	ITA	JAM	JOR	JPN	KEN	KHM	KIR	KNA	KOR	LAO	LBN	LBR	LCA	LKA	LSO	LUX	MAC	MAR	MDG	MDV	MEX	MHL	MLI	MLT	MNG	MOZ	MRT	MUS	MWI	MYS	NAM	NER	NGA	NIC	NLD	NOR	NPL	NZL	OMN	PAK	PAN	PER	PHL	PLW	PNG	POL	PRI	PRT	PRY	ROM	RWA	SDN	SEN	SGP	SLB	SLE	SLV	SOM	STP	SUR	SWE	SWZ	SYC	SYR	TCD	TGO	THA	TON	TTO	TUN	TUR	TWN	TZA	UGA	URY	USA	VCT	VEN	VNM	VUT	WSM	ZAF	ZAR	ZMB	ZWE
1970	1040.609016	2366.505659	2886.177799	7615.497107	4593.211865	20660.16276	15743.31728	441.052241	15679.02458	827.2012599	510.4719472	744.5485652	2784.462795	21825.10509	22881.338	4026.645655	24697.92177	2689.554683	3844.639389	27255.87909	51630.49032	1053.152086	1389.660452	1005.661544	17735.27054	818.8049145	29439.14054	4465.287324	361.4099077	1397.819092	1477.389362	1351.18691	3665.822739	1202.867796	1114.939461	6389.643548	4466.685263	5958.583583	4793.499118	1875.130043	17688.7148	2898.985475	4050.207899	2914.634955	1173.405585	12152.59114	459.4649147	13829.0951	2544.258462	15935.16522	2189.03822	8348.785386	13798.8975	16483.60666	1529.062578	689.4136632	1285.299849	1190.365532	758.0886486	12209.97476	2925.683249	3992.83679	2693.792641	6922.226572	2350.130154	1304.797688	7778.832353	816.206243	893.8994379	10953.96894	8475.234892	2758.854523	19202.09076	12320.87191	14258.22393	8479.75909	2726.328842	13754.66629	1021.580851	1044.734024	5804.476292	1929.641961	2829.284387	563.8483278	10760.91045	1297.189837	3760.102599	871.585491	520.1247661	23111.00749	6414.903179	1472.772244	1160.675255	728.6755854	6847.5035	4706.921917	462.0535628	3732.066264	1756.243569	353.3361523	1417.913681	2040.773992	522.3135719	2065.10085	4082.424858	942.8929265	1568.259562	3535.594353	19581.64121	17909.77635	581.9769555	16853.30757	6111.372291	963.0749281	3418.618456	4949.127511	1760.28251	12239.74415	2181.742879	6004.308813	10418.44567	7768.614551	2012.215289	2910.499118	714.5613496	1119.314209	1261.38732	7205.338077	1208.824467	748.2752096	4087.232031	739.7903932	1308.65106	7330.649912	19548.95574	1385.683083	7881.93231	1756.764296	889.0359612	1150.945569	1570.252261	2994.422888	11199.30496	2366.179463	4328.131201	3542.732214	611.8642256	809.5221568	5075.153407	20436.1951	2041.36114	9308.394846	553.5553385	3247.522649	3949.814977	5206.377452	738.2406362	1723.48596	350.2811503
1971	981.9173847	2445.13346	2930.383472	7823.17725	4886.085971	20899.49993	16526.94177	437.5966174	16174.60081	825.3118807	500.4409201	739.0693774	2960.196193	21745.35214	22752.59838	4206.310644	25195.02725	2739.553922	4207.017861	26605.15116	52515.48606	1040.823793	1779.166903	933.0696199	18545.19893	840.815793	29923.62144	4763.324713	379.4481164	1459.561582	1551.349388	1439.343569	3803.546201	1219.567612	1154.704912	6590.059199	4778.413543	6497.771612	4867.733263	2018.014184	18012.29506	3154.122899	3454.165052	3069.73538	1196.280677	12514.55862	470.6905258	14077.10449	2716.235738	16590.48893	2171.847066	8983.961216	14099.38121	16931.57277	1617.152671	712.4758675	1250.668906	1130.233378	813.3299214	13129.49119	3108.002407	4110.698635	2705.016155	7450.840946	2567.062849	1327.236337	8341.380896	873.6920783	907.9711594	11201.68946	9607.969591	2853.730139	22951.26387	13166.02605	14357.67502	8660.933499	2752.24889	14163.949	1047.780034	993.4237973	5551.184949	2067.650568	3041.489928	579.9169678	11530.28898	1323.497801	3862.761516	869.8955405	454.037365	23504.1723	6860.540686	1508.484978	1099.084278	738.8374923	6908.078632	4607.470416	460.2235863	3828.526191	1787.255903	370.498399	1396.889121	1973.991766	584.3690551	2499.743579	4144.088457	945.0912199	1741.005962	3577.977437	19986.03115	18904.47349	563.9103581	17124.81013	6178.832835	946.0087866	3555.3853	5027.620687	1804.554147	12155.09791	2224.26958	6403.806257	10928.15213	8358.392563	2048.318368	3207.532251	691.3748741	1134.799704	1215.755501	8036.940515	1314.801	767.5648712	4148.387727	779.236186	1377.606253	7472.141257	19454.30459	1333.028188	8873.290873	1831.289711	885.7416531	1210.656999	1660.880593	3027.921423	11280.24319	2635.849554	4521.42498	3906.939854	636.5400683	809.6366144	5121.999686	20855.5197	2105.361822	9369.304374	560.945173	3230.762642	4389.400792	5315.681592	825.8655105	1743.806735	376.5532455
1972	929.6147891	2390.349285	2974.425473	7823.231886	5195.064477	20850.65814	17481.49468	437.5723251	16903.35931	887.3472346	607.1884384	648.4759339	3171.829946	23582.02949	21465.58177	4295.469177	25559.96905	2834.030865	4596.795165	26651.06283	56453.83205	1013.704465	2214.341637	881.6642061	19343.75691	842.0225488	30428.59318	4603.785002	375.5414431	1454.959918	1545.827642	1507.244187	3939.570028	1211.503964	1173.075403	6800.293857	4917.396742	6753.881064	4808.115707	2078.51897	18538.53114	3427.092047	4234.729555	3225.976497	1231.612302	13513.41918	480.7701112	14890.5172	2878.530095	17207.20472	2129.101775	9677.236788	14546.70805	17575.59704	1570.109295	714.7813008	1209.518992	1143.771322	785.1485885	14410.37032	3321.757064	4389.142757	2625.309944	8052.899077	2653.922708	1292.459373	8514.111197	965.9758668	885.1509065	11912.83893	10778.62781	2660.660873	22830.96497	13991.25112	14757.87098	9344.880546	2801.988716	15182.59894	1072.730991	931.2901901	6111.005039	2180.393189	3106.702107	587.7400319	12651.21996	1363.306504	3891.72252	920.3523545	530.7215191	24772.88314	7465.959802	1452.79179	1162.616274	733.3027542	7287.963599	4456.429106	469.0451769	4118.848105	1799.717711	377.8602721	1462.780559	2208.885944	624.52242	2654.144693	4076.832837	898.175242	1734.009183	3571.106346	20156.29061	19453.75293	570.1584899	17678.71495	6249.107835	946.6767081	3537.858684	5010.513451	1861.30922	12044.55094	2474.783907	6650.425906	11449.89242	9033.957827	2142.74196	3526.284881	678.5141909	1032.535729	1236.098201	8781.892504	1223.951201	788.323878	4227.30783	800.2754375	1377.266206	7967.401453	19886.43573	1697.825777	9274.704761	2220.273609	807.0126628	1220.070752	1636.898136	3019.083402	12286.25057	3132.009545	4742.509646	4336.570606	646.2913961	792.5201257	4952.67337	21748.7008	2607.321006	9283.749379	558.6172459	3222.526722	4365.377187	5312.489806	795.5382155	1753.057321	391.4926421
1973	995.2989085	2527.378411	3051.505718	7933.885267	5568.941385	21399.05786	18315.48187	460.204103	18100.81642	895.1976572	570.2060987	649.2970032	3413.664509	25859.5955	22548.63092	4185.213025	25847.14629	2953.559599	5101.697847	26553.72776	60725.97592	991.6222368	2530.411765	917.6703885	20425.23063	884.0301249	30990.73835	4283.285687	404.7063679	1455.211319	1561.927194	1868.797694	4088.775896	1263.218982	1184.613976	7067.347744	4990.967325	6816.607062	4819.019359	2243.15929	19356.3101	3761.315102	4189.91435	3795.867308	1186.732728	14507.93638	481.1910301	15702.06473	3259.383215	18193.77437	2744.201314	10271.92163	15619.78554	18249.71864	1569.678837	711.8916884	1224.781521	1125.214049	926.6073448	15537.9232	3604.350767	4582.241783	2808.891083	8805.193062	2638.055054	1308.428379	8859.086809	1078.881426	899.7259972	12603.7552	11426.19385	3066.050316	24534.37809	15091.68922	15762.94164	9327.42063	2456.34989	16231.99729	1039.537559	746.488458	7353.584888	2281.346149	3411.533106	625.9873845	12870.1718	1414.095875	3878.415397	921.8068364	654.7126094	26723.54078	8122.506116	1488.321602	1154.103559	727.1889229	7702.572707	5726.279302	446.5919535	4265.436949	1902.996662	384.1983031	1398.181593	2493.01219	594.3874529	2939.368015	4092.253005	770.9620848	1799.49966	3690.783759	21135.94332	20385.46094	556.3425011	18671.9755	5019.972658	990.5572668	3766.152356	5199.870256	1985.455007	11875.20218	2503.179992	6865.556598	11321.3087	10185.7548	2209.521327	3778.679604	731.2125278	969.8756682	1142.558699	9599.577262	1302.972249	783.0721578	4401.239502	819.0553714	1375.282236	7937.347439	20518.35018	1620.001147	9926.861041	1952.813782	756.2367363	1133.560492	1748.468867	3086.23106	12120.66643	2846.042547	4761.684797	4766.346892	626.4287509	777.0336501	4938.645223	22763.47089	2288.594465	9880.446778	537.6569245	3650.398578	4654.218836	5409.501606	817.9769242	1524.917933	396.0902649
1974	1059.086472	2623.65487	3099.490618	8209.727963	5772.180934	19205.62176	18884.01546	438.7033352	18853.25042	933.8794574	593.5293636	675.2539499	3646.697971	27010.9226	18517.26189	4506.293047	26178.86823	2994.317206	5418.662856	24516.35945	62115.95584	1004.378038	2505.382268	888.3967627	20758.66355	881.0570427	31684.95022	4352.292134	406.0742719	1453.859472	1650.44778	1858.650241	4272.082131	1265.112113	1206.945581	7266.962903	4957.697031	5433.204954	4437.553822	2362.917596	18998.32264	3703.097103	4004.199457	4067.218096	1147.857981	15250.21955	473.8451415	16507.69432	3160.128872	18844.63407	3087.969648	13873.27364	15469.48776	18194.92593	1627.507153	734.7626913	1310.103562	1119.999502	1076.0386	14261.07891	3842.669721	4770.508467	2671.840497	8720.321325	2752.914116	1358.125524	9514.531766	1132.966768	887.7489849	12682.52727	11976.70216	3204.088674	26779.95422	15391.38775	16487.97312	8873.269578	2433.454603	15745.61433	1099.097232	700.4771864	10235.55589	2417.481108	3700.824703	634.7967918	12613.6661	1429.431596	4001.852321	1012.870038	683.2667335	27704.53141	8837.011889	1511.260272	1163.67985	750.5852221	8015.306224	6381.685999	404.4215083	4684.999053	1923.125494	397.5260497	1489.722085	2473.543122	637.7791165	3165.870936	4226.025062	816.419388	1902.545944	3871.945306	21862.72215	21143.55597	580.5450899	19226.16575	6718.188728	1005.550738	3624.471451	5530.712165	2005.558556	11621.9665	2509.218119	7280.564726	10548.53879	10282.74373	2310.352503	4278.665327	595.9775045	1066.21462	1155.615328	10523.04586	1511.636655	759.0455082	4557.083548	875.380549	1399.965258	7330.036913	21153.39952	2420.887175	9888.924876	2252.470237	821.0415064	1149.873796	1799.614998	3141.165151	13172.01148	3122.212419	4692.848374	4794.651279	635.0247799	759.3932858	5045.080487	22382.4399	2066.430919	10954.26017	537.3007151	4758.002837	4143.060686	5414.578173	820.4483006	1608.978412	412.2194583
1975	1087.81782	2532.307726	3156.23543	8045.261068	5426.076845	19505.1269	18871.66909	454.2823965	18351.39837	859.616408	616.7734182	629.38311	3947.366136	23068.30443	15472.24218	4385.650858	25854.12519	3104.767593	5519.1292	26363.52104	64734.97976	935.3811908	2508.069595	853.0948677	20890.46613	925.8959189	28803.13788	3628.834266	429.2485197	1513.034833	1822.079903	1607.736058	4214.997462	1309.017854	994.66644	7254.218102	5344.708876	4638.546898	4712.377739	2375.23821	18719.5956	3846.630001	4084.10113	4264.5027	1095.548468	15136.83034	455.4089332	16460.28362	3117.598886	18471.73502	2998.048917	15189.94534	15326.31353	18266.57439	1404.25503	741.1568614	1354.940738	1082.509993	1313.340567	14949.76082	3995.079541	4772.394887	2918.673094	8759.641439	2846.89389	1362.825582	9995.350579	1160.134855	929.5249695	12233.70517	11282.17218	3541.52491	25278.2368	15795.20462	15741.22981	8709.238958	2301.967528	15927.46304	1034.670064	701.2162476	10480.87946	2504.444477	3812.613466	662.4140413	8567.069674	1202.264017	4157.285084	1033.204668	613.3596521	25250.41419	9618.581889	1807.460354	1149.21058	670.3767962	8296.689027	6168.671692	463.1018149	5459.385555	1987.416947	403.1605277	1640.293295	2800.532469	664.8503201	3057.119909	4169.254886	776.677736	1797.424945	4059.234054	21762.36272	22072.04574	576.9909524	18320.894	8542.57474	1003.789931	3824.480526	5566.822575	2126.074877	11538.95388	2429.951605	7634.048191	10638.4567	9033.19531	2425.908631	4780.764832	691.6164209	1184.141731	1219.824852	10545.11936	1345.022716	765.1453148	4644.588444	876.1173707	1585.294223	8784.817322	21651.47669	2773.773075	10202.44584	2610.875312	918.5758894	1132.956011	1857.269621	3003.815454	13702.96012	3141.852109	4938.045031	4938.564789	654.714102	729.8681701	5419.375805	22110.74138	1873.39227	10671.23032	539.8554657	4399.800889	3962.104296	5521.220134	735.2133059	1535.094328	401.3344799
1976	1162.776371	2382.285981	3214.46069	7932.961261	4842.943215	20123.35024	19819.23226	487.0729895	19426.32433	809.8312499	591.6606348	657.4671834	4192.647739	30202.33346	15680.92895	4332.780789	27472.97991	3254.584693	6007.107615	23996.92802	74926.17902	986.1713292	2521.003727	821.858418	21736.96648	882.4072488	28913.54892	3693.872615	422.4622467	1628.510272	1676.16942	1653.245701	4369.590376	1274.074946	1005.649693	7470.280481	5554.581373	5688.089496	4883.678036	2470.844221	20040.77354	4144.614473	4217.259462	4447.947057	1078.775963	15481.8032	449.132848	16181.78755	3101.990963	19317.4393	2919.996977	19372.44256	15818.83632	19264.71348	1304.368196	783.9809544	1281.364852	1067.896232	1514.170148	15776.34001	4382.484151	4907.491315	3382.787374	9797.598348	2992.370855	1514.818912	10189.27122	1239.868074	953.3669848	12607.72619	13261.1682	4130.198759	25169.53184	15122.74622	16855.65947	8070.687398	2629.194987	16342.79491	1005.37305	727.4067256	7528.044659	2663.926834	4168.213126	679.0470485	3812.921116	1251.796868	4837.111707	1087.687121	692.048225	25727.75713	10478.13465	1957.887315	1140.957245	654.6615467	8397.672839	6021.258814	521.6418037	6452.369009	2007.581807	411.7108537	1749.212841	3367.790579	650.7615421	3359.847954	4078.113293	775.7455966	1883.970527	4146.609485	22655.71778	23355.84624	588.2099008	18236.71166	9414.072811	1026.841594	3885.390441	5495.096853	2275.69056	11840.14905	2249.365842	8197.755021	11523.13617	9505.399147	2507.798616	4969.236709	763.6121101	1345.771168	1312.748583	11126.09163	1469.310229	784.324382	4808.463557	737.0284886	1613.881747	10007.16653	21960.55877	2737.685951	11232.472	2780.897891	886.1112674	1104.053308	1983.003761	3302.072137	14931.04095	3341.580967	5337.81381	5505.187129	639.9866563	711.146997	5660.132059	23147.02822	2049.030927	11152.69254	584.6585121	4351.803138	4322.677407	5480.813193	667.5981356	1380.879247	401.2120953
1977	1171.521331	2311.794547	3251.654487	8382.130932	5396.62823	20308.40147	20904.28307	529.1311391	19607.28276	817.7454272	625.8962157	632.5051471	4430.848907	30380.99754	17277.43194	4512.618396	27751.8394	3340.41433	6087.000136	23506.72008	80047.23286	1021.814069	2633.334689	873.1802367	22291.74954	919.2823073	30178.81447	4021.237417	441.9459295	1658.977014	1903.794915	1481.171813	4498.540942	1223.698964	949.0711152	8013.879187	5965.991978	7005.91383	4077.317524	2601.16715	20332.7782	4226.297456	4409.063231	4710.468373	1274.431094	15574.31436	441.4799137	16451.45097	3229.035032	19846.6011	2901.91529	16358.78265	15936.81819	19939.87356	1319.957416	741.7781682	1266.620295	1008.021597	1608.987967	15933.4761	4619.257539	5152.100085	3261.177702	10988.87815	3015.859576	1527.253757	10731.91193	1322.118178	980.7924769	13551.58569	11392.27762	4061.228865	28349.83157	14523.29247	17114.57201	7777.185834	2779.291451	16866.62153	1050.434363	641.5721631	7109.561045	2820.066128	4566.704064	658.8095482	6654.635356	1301.30332	5044.914886	1061.937395	784.6226269	26175.30344	11418.08778	2095.681109	1134.401974	707.0240769	8400.826545	5989.050193	546.28244	7237.110157	2105.482946	399.8933168	1707.956545	3491.32592	673.306802	3559.738376	3944.971109	831.8301771	1843.066933	4184.035003	23176.34497	24150.18071	592.0119154	17435.37996	9997.994269	1042.618643	4089.32759	5340.332006	2327.286842	11977.77014	2038.878263	8672.317797	12086.6777	10128.40647	2686.661165	5621.750798	792.337759	1454.675041	1253.146666	11486.77827	1575.642533	786.1776095	5094.328937	776.1240809	1866.083515	10640.31093	21393.82334	2645.425416	12132.20055	2514.413315	814.6859452	1151.453712	2148.403903	3303.691589	15410.0358	3359.618654	5661.516085	5978.140953	642.3640405	702.5798013	5807.943225	24013.14459	2099.680594	11502.79454	647.36987	4181.282217	4218.076922	5521.769451	739.4046729	1310.293977	360.9570129
1978	1204.879248	2141.954679	3338.793031	7916.439848	5400.077109	21062.97762	20542.14401	534.288819	20113.88167	781.3746998	678.0896605	671.0156592	4667.098465	28532.33748	19028.60489	4442.552113	28373.60435	3285.182534	6237.178288	23547.35475	82719.06471	1054.212296	2932.190474	868.395686	22901.69287	1010.593063	30005.78324	4313.861043	499.6888097	1746.092384	2233.453933	1547.433825	4784.532726	1220.01474	1031.05568	8168.185473	6300.15289	7746.446713	3427.776218	2916.917705	20722.5781	4223.702418	4752.366851	4927.204285	1297.603732	15527.92378	421.291422	16625.88902	3296.899546	20513.94776	2974.110874	12192.00171	16503.31731	20605.90379	1379.65847	776.9715221	1330.385422	1150.764132	1175.808375	16889.78907	5024.586298	5288.364459	3039.332786	11946.06806	3232.58523	1582.759331	11305.44155	1397.442266	1039.86503	14479.46666	9598.733236	4635.533203	29621.80408	15053.66366	17520.89033	7741.394206	3021.086748	17626.73026	1125.064532	662.8827115	7226.194695	3105.69197	5051.163258	657.9471876	6420.74906	1318.527014	5756.396652	1248.459743	912.1182546	27140.36878	12349.46154	1945.483763	1041.133523	787.616335	8908.140207	6190.38156	533.0489733	8091.787993	2201.109764	390.2235849	1619.44749	3591.928833	766.2389003	3725.298479	4009.074621	889.7761308	1692.229942	3839.637931	23735.77113	24346.91764	605.8559561	17184.01578	11079.81205	1085.307892	4259.88252	5053.313009	2361.590703	11854.70765	2119.195638	9040.46218	12825.26913	10240.13869	2940.360516	6394.31238	725.6748327	1347.591946	1157.898851	12506.05014	1646.824193	790.7830204	5204.084952	862.76365	2000.163557	11141.00883	21366.73257	2751.139636	14162.10452	2718.418698	793.2166355	1234.338884	2370.813555	3344.814391	17426.94006	3531.571704	5577.196384	6658.902797	658.8825083	655.7139017	6152.256144	25061.55126	2243.213583	11271.47739	644.4841877	4761.315284	4429.832616	5452.411492	597.3968342	1183.7026	404.3069578
1979	1147.549062	2095.849339	3402.942192	8393.210576	5633.812233	21378.74355	22211.92867	514.0737126	20698.08958	849.4796727	674.6520368	681.9987172	5002.199578	28934.06772	22003.99581	4996.277119	30377.54233	3247.565736	6537.063977	24376.87981	98024.18063	1083.865693	3202.126563	835.0768534	23518.35923	1059.125809	30997.35062	4656.125806	529.4313471	1730.381967	2281.332071	1730.576767	4907.914163	1295.696416	1051.405657	8313.775818	6324.56132	8441.705941	3352.258682	2550.066011	21463.60963	4222.210255	5168.972332	4989.788594	1386.095699	15464.16536	446.2326258	17873.30958	3743.586645	21152.83011	2946.804341	12147.90701	16941.08353	21530.85887	1359.996053	752.8933357	1274.783257	1164.513325	969.0384544	17153.97564	5379.293766	5503.508349	3008.709878	12626.50542	3384.192405	1632.757283	11271.65092	1427.962189	998.1772894	15089.8212	8575.783588	5543.852072	30502.60449	15316.33627	18637.10936	7513.278175	3303.112833	18471.2929	1115.244775	581.2415617	6278.430457	3355.418321	5497.380259	638.6795271	6738.9353	1098.624152	5755.58173	1208.063447	772.3643888	27923.5824	13162.75044	1981.568703	963.3850346	848.8819397	9554.501586	6177.208635	578.0105166	8911.709226	2231.633609	387.6492821	1723.462381	3653.302962	722.1235958	4024.775156	4040.559194	931.289194	1636.265541	2355.542269	23915.52717	25242.39798	607.536046	17261.87756	10596.73052	1072.145822	4320.014608	5141.78366	2386.720688	11756.50624	2115.987942	9278.373079	12710.04989	10657.10721	3381.89373	6710.292246	747.5896595	1223.880882	1230.926393	13868.66603	1949.716872	770.9219969	4779.84583	722.1242709	2336.249038	10605.53282	22040.90349	2558.901674	16081.03972	2693.843556	609.3217854	1277.736779	2317.925784	3415.383534	17575.99721	3678.642476	5405.391574	7075.082069	661.309733	560.9312314	6685.284932	25494.44405	2393.153142	10893.40502	674.5822799	4771.284035	4968.959013	5596.618727	633.7652578	1184.832259	424.8448345
